Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Gender,Location,Age
626053.0,39375.0,GINGERBREAD MAN COOKIE CUTTER,29.0,02/13/2012 18:22,8.18,10001.0,United Kingdom,Male,York,69.0
626053.0,38428.0,JUMBO BAG VINTAGE ALPHABET,24.0,02/13/2012 18:22,0.89,10001.0,United Kingdom,Male,York,69.0
602797.0,35885.0,CHRISTMAS TREES GIFT WRAP,3.0,04/02/2012 6:19,9.53,10001.0,United Kingdom,Male,York,69.0
602797.0,34207.0,RECYCLED ACAPULCO MAGAZINE HOLDER,10.0,04/02/2012 6:19,4.29,10001.0,United Kingdom,Male,York,69.0
602797.0,33367.0,GLASS VASE,24.0,04/02/2012 6:19,7.7,10001.0,United Kingdom,Male,York,69.0
604511.0,33495.0,RABBIT NIGHT LIGHT,12.0,05/29/2012 18:29,2.08,10001.0,United Kingdom,Male,York,69.0
604511.0,33818.0,WORLD WAR 2 GLIDER AEROPLANE,13.0,05/29/2012 18:29,7.44,10001.0,United Kingdom,Male,York,69.0
604511.0,35017.0,VINTAGE METAL SIGN,19.0,05/29/2012 18:29,6.65,10001.0,United Kingdom,Male,York,69.0
634197.0,39372.0,PINK FLORAL STORAGE BOX,4.0,02/13/2012 20:01,3.41,10002.0,United Kingdom,Female,Durham,32.0
634197.0,37169.0,THROW PILLOW,12.0,02/13/2012 20:01,5.75,10002.0,United Kingdom,Female,Durham,32.0
